ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.716336,,,,,,,,,,,,,,,70849d73-2e8b-4773-b21e-2dc71e95ee97,67,,,"[50.7, 25.4]",3869220,1,,,,,-2.815951,,Right Foot,,"[43.0, 22.8]",Ground Pass,,8.127115,,,,Sofyan Amrabat,5234.0,,,,,,1,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,4,Morocco,788,['c6e9a98b-1881-4d1b-953d-8f09e7674773'],19,,,,,,,,,,,,,,,,,Morocco,788,00:01:19.260,Pass,
,,,,,,,,,,,,,,,1.439075,,,,,,,,,,,,,,,e4e41806-43ae-4896-a945-fce76079f412,70,,,"[41.1, 24.6]",3869220,1,,,,,2.2142975,,Right Foot,,"[29.1, 40.6]",Ground Pass,,20.0,,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,4,Morocco,788,['f5f09547-5d23-42e4-b05b-8c2f8ab5980e'],21,,,,,,,,,,,,,,,,,Morocco,788,00:01:21.083,Pass,
,,,,,,,,,,,,,,,1.735152,,,,,,,,,,,,,,,e774b703-eeee-4829-9534-472507020e1e,74,,,"[27.6, 47.0]",3869220,1,,,,,1.3949984,,Left Foot,,"[33.0, 77.4]",Ground Pass,,30.875881,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,4,Morocco,788,['aa5e3883-0fac-4232-8368-7df87c35a673'],23,,,,,,,,,,,,,,,,,Morocco,788,00:01:23.823,Pass,
,,,,,,,,,,,,,,,1.145452,,,,,,,,,,,,,,,377eecb8-4796-41fa-a819-fc6d1edcd60b,77,,,"[29.6, 77.6]",3869220,1,,,,,0.24017102,,Right Foot,,"[39.4, 80.0]",Ground Pass,,10.089599,,Out,,Hakim Ziyech,5237.0,,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,4,Morocco,788,['7f353e0f-4046-41c6-b223-76cd28ebdcdf'],26,,,,,,,,,,,,,,,,,Morocco,788,00:01:26.520,Pass,
,,,,,,,,,,,,,,,1.910829,,,,,,,,,,,,,,,efd18226-2b75-4c57-b790-525ba59e4b22,79,,,"[79.0, 0.1]",3869220,1,,True,,,2.909489,,,,"[57.0, 5.3]",Low Pass,,22.606194,,,,Aymeric Laporte,4353.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Spain,772,['d8708ddf-c59c-4546-8ba2-eaed972d1b57'],55,,,,,,,,,,,,,,,,,Spain,772,00:01:55.431,Pass,
,,,,,,,,,,,,,,,2.045211,,,,,,,,,,,,,,,2063d372-0c58-44b1-bf5e-f5d95a4555a0,81,,,"[56.5, 11.3]",3869220,1,,,,,1.563852,,Left Foot,,"[56.7, 40.1]",Ground Pass,,28.800694,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,5,Spain,772,['d950c801-d12c-4f2c-b5ec-1b1a0853f1a6'],58,,,,,,,,,,,,,,,,,Spain,772,00:01:58.556,Pass,
,,,,,,,,,,,,,,,1.656711,,,,,,,,,,,,,,,0fdfb0f6-468f-4fd9-b4b2-d634371346e8,84,,,"[64.0, 47.8]",3869220,2,,,,,-1.8324401,,Right Foot,,"[57.6, 23.9]",Ground Pass,,24.74207,,,,Aymeric Laporte,4353.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,5,Spain,772,['d6113c8a-21b8-428d-b1c5-79c646cf5b17'],4,,,,,,,,,,,,,,,,,Spain,772,00:02:04.395,Pass,
,,,,,,,,,,,,,,,0.919785,,,,,,,,,,,,,,,0753267c-173f-4b61-ad1b-71aa9e622358,87,,,"[64.2, 19.8]",3869220,2,,,,,-1.2649175,,Right Foot,,"[69.6, 2.7]",Ground Pass,,17.932373,,,,Pedro González López,30486.0,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,5,Spain,772,['7626f715-3c20-4e1f-b613-f81fc56d5b4a'],7,,,,,,,,,,,,,,,,,Spain,772,00:02:07.919,Pass,
,,,,,,,,,,,,,,,1.764964,,,,,,,,,,,,,,,7adf123e-a62a-4bbe-9cc3-0fa334b74a4b,90,,,"[65.3, 7.8]",3869220,2,,,,,1.8115938,,Right Foot,,"[57.0, 41.6]",Ground Pass,,34.804165,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Pedro González López,30486.0,Left Center Midfield,5,Spain,772,['7c07b8ba-62bd-4375-8e57-8820d4b64c02'],10,,,,,,,,,,,,,,,,,Spain,772,00:02:10.478,Pass,
,,,,,,,,,,,,,,,1.014683,,,,,,,,,,,,,,,f94c2279-cd84-4913-aed3-8b755336c32c,93,,,"[57.0, 44.6]",3869220,2,,,,,1.245229,,Right Foot,,"[62.3, 60.3]",Ground Pass,,16.570456,,,,Marcos Llorente Moreno,6840.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,5,Spain,772,['d76ea193-6588-4a41-bf41-aa7868f7e83a'],13,,,,,,,,,,,,,,,,,Spain,772,00:02:13.875,Pass,
,,,,,,,,,,,,,,,0.864843,,,,,,,,,,,,,,,73c0080c-c29c-43d5-8275-22aea2573546,96,,,"[62.3, 60.3]",3869220,2,,,,,-2.3647413,,Right Foot,,"[50.5, 48.7]",Ground Pass,,16.546904,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Marcos Llorente Moreno,6840.0,Right Back,5,Spain,772,['c579c3de-600c-40ca-aee8-08e1f51c64d9'],15,,,,,,,,,,,,,,,,,Spain,772,00:02:15.666,Pass,
