50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.829991,,,,,,,,,,,a5274189-2779-4fb0-bcf8-822a607a1d88,89,,"[14.7, 30.6]",3869118,1,,,,,1.2614248,,Left Foot,,,"[21.7, 52.5]",,Ground Pass,,22.99152,,,,,John Stones,3244.0,,,,,1,From Throw In,Jordan Pickford,3468.0,Goalkeeper,6,England,768,['e77919b2-b66b-4d29-8a81-9dcf376c66fd'],27,,,,,,,,,,,,,,,England,768,00:01:27.166,Pass,
,,,,,,,,,,,,,,,,,1.327065,,,,,,,,,,,70b73aa6-b9a5-4663-8859-bff9788b9827,92,,"[22.2, 54.9]",3869118,1,,,,,0.8886878,,Right Foot,,,"[36.9, 73.0]",,Ground Pass,,23.317375,,,,,Kyle Walker,3205.0,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,6,England,768,['a8b302cd-00bd-400a-be43-2f10d754b0a8'],29,,,,,,,,,,,,,,,England,768,00:01:29.809,Pass,
,,,,,,,,,,,,,,,,,2.566736,,,,,,,,,,,32e1254f-2c99-4a0a-9b0d-9796bc40efea,95,,"[37.8, 73.0]",3869118,1,,,,,-1.8321223,,Right Foot,,,"[21.7, 12.8]",,High Pass,,62.315727,,,,,Harry Maguire,3336.0,,True,,,1,From Throw In,Kyle Walker,3205.0,Right Back,6,England,768,['7b5df260-816c-42d1-8400-97ba667508a3'],33,,,,,,,,,,,,,,,England,768,00:01:33.285,Pass,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,33da7469-d366-4f7e-9d99-51d5d3a4f01f,98,,"[34.2, 9.2]",3869118,1,,,,,-0.6043055,,Right Foot,,,"[42.6, 3.4]",,Ground Pass,,10.20784,,,,,Luke Shaw,3382.0,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,6,England,768,['56577c3a-9e69-4e84-979f-a41e559c1920'],39,,,,,,,,,,,,,,,England,768,00:01:39.045,Pass,
,,,,,,,,,,,,,,,,,1.150198,,,,,,,,,,,dd790ef3-e0e0-4bec-8c66-605376c3c573,101,,"[44.8, 3.1]",3869118,1,,,,,-0.021854443,,Left Foot,,,"[63.1, 2.7]",,Ground Pass,,18.30437,,,,,Philip Foden,4354.0,,,,,1,From Throw In,Luke Shaw,3382.0,Left Back,6,England,768,['37be506f-74d5-4aac-a899-5d609c8a10c3'],42,,,,,,,,,,,,,,,England,768,00:01:42.149,Pass,
,,,,,,,,,,,,,,,,,1.333205,,,,,,,,,,,cfbcb0eb-7d4e-4ed7-8583-66a2d5c678cd,105,,"[51.3, 2.7]",3869118,1,,,,,2.8472326,,Left Foot,,,"[29.2, 9.4]",,Ground Pass,,23.093288,,,,,Harry Maguire,3336.0,,,,,1,From Throw In,Philip Foden,4354.0,Left Wing,6,England,768,['51f92c8e-5a49-4261-9bd4-e4ccdc808da7'],45,,,,,,,,,,,,,,,England,768,00:01:45.327,Pass,
,,,,,,,,,,,,,,,,,1.558301,,,,,,,,,,,3dc6b13f-e32a-4505-99da-55086da7bafe,108,,"[24.1, 19.8]",3869118,1,,,,,-0.8172345,,Right Foot,,,"[39.3, 3.6]",,Ground Pass,,22.214409,,,,,Jude Bellingham,30714.0,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,6,England,768,['4208b5bf-e5e6-4597-b6ab-185158c85d33'],51,,,,,,,,,,,,,,,England,768,00:01:51.648,Pass,
,,,,,,,,,,,,,,,,,1.347865,,,,,,,,,,,0a4e62d7-2aea-4787-8959-0811141f5ada,111,,"[38.1, 5.8]",3869118,1,,,,,2.4483695,,Right Foot,,,"[25.1, 16.6]",,Ground Pass,,16.900888,,,,,Harry Maguire,3336.0,,,,,1,From Throw In,Jude Bellingham,30714.0,Left Center Midfield,6,England,768,['903090dd-4f89-4542-aa76-c5f620a55a1d'],54,,,,,,,,,,,,,,,England,768,00:01:54.923,Pass,
,,,,,,,,,,,,,,,,,1.38754,,,,,,,,,,,4e262d6a-c28a-445a-b52b-91f71b85dbe2,114,,"[32.1, 17.6]",3869118,1,,,,,-1.1299368,,Right Foot,,,"[38.8, 3.4]",,Ground Pass,,15.701274,,,,,Jude Bellingham,30714.0,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,6,England,768,['fb7a2f15-7fbe-467d-aee0-fd0f553b2e09'],59,,,,,,,,,,,,,,,England,768,00:01:59.453,Pass,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,d55aca8e-6b71-4873-9949-ae71501485cd,117,,"[38.8, 3.4]",3869118,2,,,,,-0.075328894,,Right Foot,,,"[54.7, 2.2]",,Ground Pass,,15.945219,,,,,Luke Shaw,3382.0,,,,,1,From Throw In,Jude Bellingham,30714.0,Left Center Midfield,6,England,768,['c161c92e-e801-40dd-baa6-2cd7fffad40a'],1,,,,,,,,,,,,,,,England,768,00:02:01.431,Pass,
