50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.278511,,,,,,,,,,,,a8aaf98c-0ac6-4022-a02d-f0b4b88dde51,770,,,"[4.7, 73.7]",3869219,19,,,,,-0.27567586,,Right Foot,,,,"[45.0, 62.3]",,High Pass,,41.881382,,Incomplete,,Ritsu Doan,8361.0,,,,,,1,Regular Play,Takehiro Tomiyasu,23730.0,Right Center Back,28,Japan,778,"['93d9e751-4b17-432f-a779-14d438acb4a6', 'b74fb371-c9e3-48c3-adfc-531cb4327099']",9,,,,,,,,,,,,,,,,,Japan,778,00:19:09.912,Pass,
,,,,,,,,,,,,,,,,2.467264,,,,,,,,,,,,097be1d5-5857-448a-a6bf-b6a942aebe28,774,,,"[42.9, 47.1]",3869219,19,,,,,-0.48132253,,Right Foot,,,,"[58.6, 38.9]",,High Pass,,17.712425,,Incomplete,,Daichi Kamada,9411.0,,,,,Recovery,1,Regular Play,Hidemasa Morita,37221.0,Left Defensive Midfield,28,Japan,778,"['40eb2569-68bd-4b4a-b732-fd3ccae0bc40', '9615225d-d738-49b7-a482-a196c262537a']",13,,,,,,,,,,,,,,,,,Japan,778,00:19:13.726,Pass,
,,,,,,,,,,,,,,,,3.451811,,,,,,,,,,,,cf2e52fc-9b60-492d-9506-75a9b1ab408e,779,,,"[58.0, 44.1]",3869219,19,,,,,1.7953563,,Right Foot,,,,"[49.8, 80.0]",,Ground Pass,,36.824585,,Out,,,,,,,,,1,Regular Play,Dejan Lovren,3471.0,Right Center Back,28,Japan,778,['e66a8bc8-bfe6-42a5-b228-5d43c3d30dcf'],16,,,,,,,,,,,,,,,,,Croatia,785,00:19:16.672,Pass,True
,,,,,,,,,,,,,,,,1.710608,,,,,,,,,,,,20e45a53-0446-44eb-b445-70d5397c9c3c,780,,,"[68.2, 0.1]",3869219,19,,,,,2.7851558,,,,,,"[49.4, 7.1]",,Low Pass,,20.060907,,,,Shogo Taniguchi,37215.0,,,,,Throw-in,1,From Throw In,Yuto Nagatomo,5690.0,Left Wing Back,29,Japan,778,['4a61aff4-8452-401a-88b3-61f559c68241'],24,,,,,,,,,,,,,,,,,Japan,778,00:19:24.217,Pass,
,,,,,,,,,,,,,,,,4.207921,,,,,,,,,,,,fdd51a48-8aca-4690-9442-91015b7a9549,783,,,"[48.3, 11.1]",3869219,19,,,,,1.3488061,,Right Foot,,,,"[63.4, 78.0]",,Ground Pass,,68.58294,,,,Takehiro Tomiyasu,23730.0,,True,,,,1,From Throw In,Shogo Taniguchi,37215.0,Left Center Back,29,Japan,778,['874c3789-d098-4e71-80da-0c6e0732a72f'],28,,,,,,,,,,,,,,,,,Japan,778,00:19:28.408,Pass,
,,,,,,,,,,,,,,,,1.067133,,,,,,,,,,,,e70dc5a6-b968-4178-a023-c4a5892f4878,786,,,"[63.4, 78.0]",3869219,19,,,,,-0.044415217,,Right Foot,,,,"[85.9, 77.0]",,Ground Pass,,22.522211,,,,Junya Ito,23527.0,,,,,,1,From Throw In,Takehiro Tomiyasu,23730.0,Right Center Back,29,Japan,778,['d238de5e-b293-472e-a055-3a2514c67c56'],32,,,,,,,,,,,,,,,,,Japan,778,00:19:32.776,Pass,
,,,,,,,,,,,,,,,,1.148469,,,,,,,,,,,,311cb3e3-23ee-462e-81da-4aaa33af4a07,789,,,"[109.4, 74.0]",3869219,19,,,,,-1.3664805,,Right Foot,True,,,"[116.3, 40.7]",,Ground Pass,,34.00735,,Incomplete,,Daizen Maeda,30628.0,,,,,,1,From Throw In,Junya Ito,23527.0,Right Wing Back,29,Japan,778,"['ad30356d-12bb-4cc9-8264-0265b9ecc750', 'c7a321f4-63dc-4537-9cde-6769fd17015d']",37,,,,,,,,,,,,,,,,,Japan,778,00:19:37.352,Pass,
,,,,,,,,,,,,,,,,1.983764,,,,,,,,,,,,43ff3099-0db1-4e95-935e-6ff5557bb6ba,792,,,"[5.3, 42.9]",3869219,19,,True,,,0.76412475,,Keeper Arm,,,,"[12.5, 49.8]",,Ground Pass,,9.972462,,,,Dejan Lovren,3471.0,,,,,,1,From Keeper,Dominik Livaković,16531.0,Goalkeeper,30,Croatia,785,['470dd704-be38-461a-9633-49991c443335'],54,,,,,,,,,,,,,,,,,Croatia,785,00:19:54.379,Pass,
,,,,,,,,,,,,,,,,1.449377,,,,,,,,,,,,6a7d04ea-f713-4d59-b64d-cefd30c1b5a3,794,,,"[29.0, 45.4]",3869219,20,,,,,-1.2977877,,Right Foot,,,,"[33.2, 30.4]",,Ground Pass,,15.576906,,,,Joško Gvardiol,33018.0,,,,,,1,From Keeper,Dejan Lovren,3471.0,Right Center Back,30,Croatia,785,['7f9433bc-2a04-4dbb-a961-f5193125e4c2'],4,,,,,,,,,,,,,,,,,Croatia,785,00:20:04.106,Pass,
,,,,,,,,,,,,,,,,0.80935,,,,,,,,,,,,68bcd83c-d7b5-4fe1-b6ec-e8e6fbbe4d92,797,,,"[41.8, 24.8]",3869219,20,,,,,-0.11393232,,Left Foot,,,,"[61.9, 22.5]",,Ground Pass,,20.231165,,,,Mateo Kovačić,5456.0,,,,,,1,From Keeper,Joško Gvardiol,33018.0,Left Center Back,30,Croatia,785,['065dbc49-2ee8-40df-ba6f-6ffe6d819fcb'],7,,,,,,,,,,,,,,,,,Croatia,785,00:20:07.414,Pass,
,,,,,,,,,,,,,,,,1.225499,,,,,,,,,,,,a7f76a63-198c-4654-ab55-109fa6455958,799,,,"[61.9, 22.5]",3869219,20,,,,,-3.0447536,,Right Foot,,,,"[44.4, 20.8]",,Ground Pass,,17.582378,,,,Joško Gvardiol,33018.0,,,,,,1,From Keeper,Mateo Kovačić,5456.0,Left Center Midfield,30,Croatia,785,['3288b380-8621-4564-b53c-980d1428c6ec'],8,,,,,,,,,,,,,,,,,Croatia,785,00:20:08.223,Pass,
,,,,,,,,,,,,,,,,2.316642,,,,,,,,,,,,080f45da-fc05-4bd5-be4c-759144261e39,802,,,"[55.4, 24.5]",3869219,20,,,,,1.1851792,,Left Foot,,,,"[75.9, 75.0]",,High Pass,,54.502293,,,,Josip Juranović,29163.0,,True,,,,1,From Keeper,Joško Gvardiol,33018.0,Left Center Back,30,Croatia,785,['5534ff84-fbb7-4f60-9c73-210b6538f54f'],13,,,,,,,,,,,,,,,,,Croatia,785,00:20:13.262,Pass,
