ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[57.4, 13.5]",,,,,,,,,,0.897725,,,,,,,,,,,99fa810d-789f-43cb-aac3-1560896f5d99,1457,,"[56.0, 12.3]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Remo Freuler,6983.0,Left Center Midfield,70,Switzerland,773,"['13315162-8807-4735-859f-492790f9425e', '4a8f45f0-e934-459c-93f9-38cec52aea46', '9944bf9f-8094-4282-87a0-7cc8b0ff9d40']",36,,,,,,,,,,,,,,,,,,Switzerland,773,00:40:36.205,Carry,True
,,,"[85.7, 52.8]",,,,,,,,,,3.914871,,,,,,,,,,,ec0b2a04-c1d1-4a77-83df-073f8a15772f,1461,,"[71.0, 44.8]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,João Félix Sequeira,12041.0,Left Wing,70,Switzerland,773,"['91ef2e7c-b441-4c64-9b11-93608c1e3129', 'c9e8b5c5-7ae9-474d-9f64-613298e7f6b1']",39,,,,,,,,,,,,,,,,,,Portugal,780,00:40:39.547,Carry,
,,,"[98.4, 73.1]",,,,,,,,,,1.252779,,,,,,,,,,,65f603ee-72be-4498-8ce3-35ddbe2ec5bc,1464,,"[98.4, 73.1]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bruno Miguel Borges Fernandes,5204.0,Right Wing,70,Switzerland,773,"['7fdfcfec-8b66-4752-a62e-d3934cb6d401', 'ce889e15-e236-48c1-b718-c048ee01a646']",45,,,,,,,,,,,,,,,,,,Portugal,780,00:40:45.543,Carry,
,,,"[25.8, 22.6]",,,,,,,,,,8.612338,,,,,,,,,,,e1cbabf0-a3d6-4493-a03e-a17eb234cf2c,1470,,"[11.0, 25.1]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Fabian Lukas Schär,5537.0,Center Back,71,Switzerland,773,"['ba249a4b-9a00-4676-a1fc-c44140f2d08f', 'bc46c5f9-e242-423d-80d9-f2d0d5c0a5b9']",3,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:03.572,Carry,
,,,"[29.9, 10.8]",,,,,,,,,,1.054182,,,,,,,,,,,f1f49333-d662-492b-a76f-593c17c1f7a2,1473,,"[29.9, 10.8]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,71,Switzerland,773,"['5e98443b-8618-42ce-9ea6-55ab8fd891dc', 'ec12f9fe-afea-46d1-91d9-8d9d41669b4b']",13,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:13.098,Carry,
,,,"[51.4, 5.9]",,,,,,,,,,1.65724,,,,,,,,,,,66586ed3-ac05-445b-8350-d1fbc4e883ec,1476,,"[46.8, 3.0]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Xherdan Shaqiri,3533.0,Left Center Forward,71,Switzerland,773,"['0c3f0db2-e2d6-4529-98a6-134af45d9cd5', 'c01e52d4-0aa1-43d1-b0fa-abf87cadf867']",15,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:15.645,Carry,
,,,"[24.3, 41.7]",,,,,,,,,,1.001634,,,,,,,,,,,4bbcd23f-1163-42c7-b19f-ebde2fcbc0e4,1479,,"[25.1, 43.2]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,71,Switzerland,773,"['55459dd7-0529-4d73-adde-9f0b88975ee8', '89e7558c-9f41-447d-ba84-eb1702f85106', 'b9112b66-4505-4d70-b9e4-44df18848d86']",20,,,,,,,,,,,,,,,,,,Portugal,780,00:41:20.183,Carry,True
,,,"[42.0, 55.7]",,,,,,,,,,5.856237,,,,,,,,,,,7e2cb3e6-bea7-4cab-8a8a-3c7fe6d22b88,1485,,"[50.6, 56.5]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Manuel Obafemi Akanji,5549.0,Right Center Back,71,Switzerland,773,"['195d9fb3-e50d-435c-b0ef-affff2fa701c', '4e7e6f62-4e9b-43b9-8925-4443fb4852ae']",25,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:25.611,Carry,
,,,"[39.0, 35.7]",,,,,,,,,,3.328844,,,,,,,,,,,3415a1d1-a12f-435e-8264-218ceed7ab02,1488,,"[39.0, 35.7]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Fabian Lukas Schär,5537.0,Center Back,71,Switzerland,773,"['1d37e2bf-eafb-4f4f-b83c-f92851164614', '54633ff4-bbba-4edc-b596-c9e14a286e3a']",32,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:32.615,Carry,
,,,"[45.0, 66.7]",,,,,,,,,,2.416326,,,,,,,,,,,3bc2726e-4e6c-46e6-bac1-93c9829dd40c,1491,,"[41.5, 54.2]",3869254,41,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Manuel Obafemi Akanji,5549.0,Right Center Back,71,Switzerland,773,"['7a95c209-1e7d-4caa-ad55-40054e9157f4', 'b16d7631-e18e-4e9f-8a75-11ba502de96e']",37,,,,,,,,,,,,,,,,,,Switzerland,773,00:41:37.649,Carry,
