bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.781045,,,,,,,,,,fdd1bc7d-21b7-46d0-8b76-67f0901d3481,85,,,"[52.0, 17.7]",3869684,1,,,,-0.6421084,,Left Foot,,,"[75.0, 0.5]",,Ground Pass,,28.720028,,,,Mislav Oršić,16527.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Center Back,4,Croatia,785,['999d0de6-cfcb-45e2-a77b-8be309c44002'],45,,,,,,,,,,,,,,,,,Croatia,785,00:01:45.450,Pass,
,,,,,,,,,,,,,,,,,0.873591,,,,,,,,,,f35a55cf-4135-4ce8-8e83-c9bc6ff13093,89,,,"[103.1, 7.8]",3869684,1,,,,-0.28010798,,Right Foot,,,"[110.4, 5.7]",,Ground Pass,,7.5960517,,,,Ivan Perišić,5474.0,,,,,,1,From Throw In,Mislav Oršić,16527.0,Left Wing,4,Croatia,785,['877df0d6-b472-475f-afe8-43656788a0ee'],50,,,,,,,,,,,,,,,,,Croatia,785,00:01:50.996,Pass,
,,,,,,,,,,,,,,,,,1.030138,,,,,,,,,,10aa414a-ea0b-4835-b3cb-fd870a699d15,92,,,"[111.6, 5.7]",3869684,1,,,,1.5266609,,Left Foot,True,,"[113.0, 37.4]",,High Pass,,31.7309,,Incomplete,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Back,4,Croatia,785,['53cc364b-236a-40ee-9e79-f6e4f2f263dd'],52,,,,,,,,,,,,,,,,,Croatia,785,00:01:52.430,Pass,
,,,,,,,,,,,,,,,,,1.067642,,,,,,,,,,32d4e72c-ddbf-4f6c-8d82-a4fe6876c711,97,,,"[17.9, 48.0]",3869684,1,,,,2.604308,,Left Foot,,,"[8.5, 53.6]",,Ground Pass,,10.941664,,,,Jawad El Yamiq,7459.0,,,,,,1,Regular Play,Youssef En-Nesyri,6301.0,Center Forward,5,Morocco,788,"['bc406ffb-b4df-44fb-89f1-ca1218d77f00', 'e59c5f6d-fcff-4c6f-b0a2-d5587c6c3d86']",56,,,,,,,,,,,,,,,,,Morocco,788,00:01:56.620,Pass,True
,,,,,,,,,,,,,,,,,1.347643,,,,,,,,,,8d39f271-6b43-44af-8cf2-b72c1ad2f76b,100,,,"[8.2, 56.0]",3869684,1,,,,1.484058,,Right Foot,,,"[9.0, 65.2]",,Ground Pass,,9.234717,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,Regular Play,Jawad El Yamiq,7459.0,Right Center Back,5,Morocco,788,['a189f910-3707-40f3-8329-6135665a074f'],58,,,,,,,,,,,,,,,,,Morocco,788,00:01:58.723,Pass,
,,,,,,,,,,,,,,,,,0.925364,,,,,,,,,,94b4cd50-eda9-4b2c-bece-117dc2c571f3,104,,,"[11.2, 66.0]",3869684,2,,,,-0.734936,,Right Foot,,,"[21.6, 56.6]",,Ground Pass,,14.018559,,,,Youssef En-Nesyri,6301.0,,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,5,Morocco,788,"['8697fea0-e4ec-43f6-8722-2be5b4669748', '8a7f6a7c-3547-4524-be67-5d7cc2bc224b']",0,,,,,,,,,,,,,,,,,Morocco,788,00:02:00.764,Pass,True
,,,,,,,,,,,,,,,,,1.222015,,,,,,,,,,ab1ab0ea-8486-42fa-8423-be423be8647a,107,,,"[22.0, 57.4]",3869684,2,,,,-3.066061,,Left Foot,,,"[3.5, 56.0]",,Ground Pass,,18.552896,,,,Jawad El Yamiq,7459.0,,,,,,1,Regular Play,Youssef En-Nesyri,6301.0,Center Forward,5,Morocco,788,['e48f0116-751a-4a2c-9ad0-70fd3d7cea98'],1,,,,,,,,,,,,,,,,,Morocco,788,00:02:01.769,Pass,
,,,,,,,,,,,,,,,,,1.418769,,,,,,,,,,5102b04d-ed4a-47c3-acec-398504b094e2,110,,,"[3.5, 56.0]",3869684,2,,,,-1.7714492,,Left Foot,,,"[2.3, 50.1]",,Ground Pass,,6.0207973,,,,Yassine Bounou,6785.0,,,,,,1,Regular Play,Jawad El Yamiq,7459.0,Right Center Back,5,Morocco,788,['54e23fe8-e2f0-4c05-9c7d-e07f6afdbcfb'],3,,,,,,,,,,,,,,,,,Morocco,788,00:02:03.031,Pass,
,,,,,,,,,,,,,,,,,0.916734,,,,,,,,,,bc05b23f-6fac-4526-884a-47fd8cec28e6,114,,,"[2.4, 48.7]",3869684,2,,,,-1.7076173,,Left Foot,,,"[0.5, 34.9]",,Ground Pass,,13.930183,,Out,,Achraf Dari,139016.0,,,,,,1,Regular Play,Yassine Bounou,6785.0,Goalkeeper,5,Morocco,788,"['7ec0fd0d-df04-4b42-b033-70ee61337bf1', 'f2f6b172-6a1e-414e-8afd-88c50bf8ff8d']",5,,,,,,,,,,,,,,,,,Morocco,788,00:02:05.288,Pass,True
,,,,,,,,,,,,,,,,,1.223201,,,,,,,,,,071c528e-d396-4c41-abfd-b528fb1e6592,116,,,"[120.0, 80.0]",3869684,2,,,,-1.705525,,Left Foot,,,"[114.7, 40.9]",,High Pass,True,39.457573,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Lovro Majer,28914.0,Right Wing,6,Croatia,785,['8dbcc97d-0c6b-4829-9652-34cf27d4c6c0'],50,,,,,,,,,,,,,,,,,Croatia,785,00:02:50.880,Pass,
