50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,886494bf-f652-4aee-bd7b-af45070d93fe,969,,,"[107.5, 66.5]",3869552,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Wing,32,France,771,['cbd1983a-f9c8-46a5-89b8-361afd95eb59'],47,,,,,,,,,,,,,,,,,,Morocco,788,00:22:47.675,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4bf1a77-261f-427b-83eb-eac7bb852f06,1027,,,"[62.9, 3.6]",3869552,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ibrahima Konaté,11135.0,Left Center Back,34,Morocco,788,['ca85fd53-3ee2-4964-9bfc-13d125336ffa'],9,,,,,,,,,,,,,,,,,,France,771,00:24:09.891,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,6dc6808b-c1a7-47d8-b856-2125665bf1f4,1063,,,"[68.6, 73.5]",3869552,25,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,36,Morocco,788,"['043442ff-369c-4975-8a08-70755fa38683', '36c19419-e32b-4fd3-a2aa-0c8db7edcd48', '650d3aa6-c93c-46e9-ab29-6ff876feaac0']",17,,,,,,,,,,,,,,,,,,France,771,00:25:17.502,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49225801-1211-456b-b89d-ce796f121ab5,1090,,,"[62.6, 57.4]",3869552,25,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,36,Morocco,788,"['14d66bf6-d9a0-4264-8448-ca60c24f48ae', '3cb434dc-2de9-48d6-ae5e-3171cc2bacb3']",36,,,,,,,,,,,,,,,,,,France,771,00:25:36.307,Foul Committed,
,,,,,,,,,,,True,,,,,,,0.0,,Yellow Card,,,,,,,,,,,,5fb3619e-865c-4ab1-9ce3-472b6ec3d7e9,1115,,,"[106.1, 56.2]",3869552,26,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Wing,38,France,771,['820ee720-4d4a-49e0-9d0b-ade8630f67c0'],14,,,,,,,,,,,,,,,,,,Morocco,788,00:26:14.283,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,74f5a75c-dd3e-4672-807e-6e97ad0123f6,1154,,,"[52.2, 54.1]",3869552,28,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Selim Amallah,23774.0,Right Center Midfield,39,France,771,['ddef800e-7507-48e9-b307-02ae9403e494'],49,,,,,,,,,,,,,,,,,,Morocco,788,00:28:49.035,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ead377a3-c6a4-4eb0-b591-77dba935c536,1248,,,"[56.5, 7.7]",3869552,31,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,46,Morocco,788,['a7ba52a6-50e1-4570-a377-a82c6fab763c'],53,,,,,,,,,,,,,,,,,,France,771,00:31:53.626,Foul Committed,
,,,,,,,,,,,True,,,,,,,0.0,True,,,,,,,,,,,,,8ae1ea7a-a71b-4b1b-8fa7-cafcb85b0ea9,1266,,,"[51.9, 67.7]",3869552,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Achraf Dari,139016.0,Right Center Back,48,France,771,"['0bca020e-7826-4dab-a11a-05a8c89c2473', 'fc7e04b1-f749-4d23-a93e-c249db451ae8']",15,,,,,,,,,,,,,,,,,,Morocco,788,00:32:15.858,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f8af7570-3a32-47cf-91db-13124105fc69,1404,,,"[65.8, 15.6]",3869552,36,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,55,France,771,"['7d73169c-c0d9-4e7f-bade-e4f2a2c3cdbb', 'febcbce2-0887-4cb8-8bcb-7658977dd8c4']",22,,,,,,,,,,,,,,,,,,Morocco,788,00:36:22.548,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68a30942-4b77-4545-98a4-7cc3227f6603,1707,,,"[75.7, 60.3]",3869552,46,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Jules Koundé,4445.0,Right Back,69,France,771,['e21452e4-0188-48aa-8041-da15ddc86eed'],10,,,,,,,,,,,,,,,,,,France,771,00:46:10.475,Foul Committed,
