ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.106782,,,,,,,,,,,,,,,,4a1004dc-7c78-440f-9f4c-7d94c2a6328f,4338,,"[61.6, 27.3]",3857291,97,,,,,-1.8959138,,Right Foot,,,,"[55.6, 9.5]",,Ground Pass,18.784037,,,,Alejandro Balde Martínez,39161.0,,,,,,2,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,144,Spain,772,['23c19984-acdc-4431-9a0c-cb74aa3da401'],49,,,,,,,,,,,,,,,,Spain,772,00:52:49.201,Pass,
,,,,,,,,,,,,,,,,,1.120144,,,,,,,,,,,,,,,,de26e6be-5ac7-42f9-a66d-2c8752b3fb96,4341,,"[55.6, 9.5]",3857291,97,,,,,-1.2335432,,Right Foot,,,,"[58.3, 1.8]",,Ground Pass,8.159657,,,,Pablo Martín Páez Gavira,133353.0,,,,,,2,From Throw In,Alejandro Balde Martínez,39161.0,Left Back,144,Spain,772,['5e5cd8e7-2c74-43e3-950b-c54162cf7214'],51,,,,,,,,,,,,,,,,Spain,772,00:52:51.111,Pass,
,,,,,,,,,,,,,,,,,2.041002,,,,,,,,,,,,,,,,ce361606-ab6b-4259-bdf1-31aa20edbaa6,4344,,"[56.9, 14.7]",3857291,97,,,,,1.7868233,,Right Foot,,,,"[48.1, 54.8]",,Low Pass,41.054234,,,,César Azpilicueta Tanco,3957.0,,True,,,,2,From Throw In,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,144,Spain,772,['f84b2abd-f2c8-4695-9389-0509e5ae1092'],55,,,,,,,,,,,,,,,,Spain,772,00:52:55.214,Pass,
,,,,,,,,,,,,,,,,,0.946234,,,,,,,,,,,,,,,,40f56cda-3f30-4235-b9f8-9611bf10eb6a,4347,,"[55.3, 53.5]",3857291,98,,,,,-0.89049476,,Right Foot,,,,"[65.9, 40.4]",,Ground Pass,16.85141,,,,Jorge Resurrección Merodio,5199.0,,,,,,2,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,144,Spain,772,['08127bf5-74bf-4dbb-81b0-eca6a210d20f'],2,,,,,,,,,,,,,,,,Spain,772,00:53:02.018,Pass,
,,,,,,,,,,,,,,,,,1.038918,,,,,,,,,,,,,,,,b9000172-0ed8-49a9-84d4-7ef25f7441fd,4350,,"[66.6, 41.1]",3857291,98,,,,,-1.4665247,,Right Foot,,,,"[67.5, 32.5]",,Ground Pass,8.646965,,,,Pablo Martín Páez Gavira,133353.0,,,,,,2,From Throw In,Jorge Resurrección Merodio,5199.0,Center Defensive Midfield,144,Spain,772,"['539657bd-fed3-48aa-b81d-f91f5dc26f65', '95f5b876-7137-4286-a172-bd812163d764']",2,,,,,,,,,,,,,,,,Spain,772,00:53:02.964,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131e1f4-d747-4f2f-b35f-fe796e6da76c,6,,"[35.4, 34.4]",3857291,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['30cb5b0a-2f5b-4141-bc52-c20c56c94159'],2,,,,,,,,,,,,,,,,Spain,772,00:00:02.176,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86afea5f-7071-4ad9-b6b4-50e0ede57ba3,9,,"[98.4, 69.3]",3857291,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ferrán Torres García,6748.0,Right Wing,2,Spain,772,['12d750df-35e6-46c5-832f-e0ffa76ef512'],7,,,,,,,,,,,,,,,,Spain,772,00:00:07.509,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7e4481b-07fb-4b9b-9b4a-db58a2a206af,13,,"[46.3, 73.5]",3857291,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['4589ed49-9965-49e4-a7a7-e3b0e3cea640'],16,,,,,,,,,,,,,,,,Spain,772,00:00:16.821,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eff7b257-5943-4296-bd38-01a77a3076d2,16,,"[38.6, 42.3]",3857291,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,['4dfea775-0184-49d0-b68f-ae59750f3eb9'],20,,,,,,,,,,,,,,,,Spain,772,00:00:20.090,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3827f2f4-d230-41e1-8cc4-8827404f49e5,19,,"[57.8, 13.0]",3857291,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['e4bdf89f-3394-4f57-8bb3-e94ce2518824'],26,,,,,,,,,,,,,,,,Spain,772,00:00:26.113,Ball Receipt*,
