ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.665919,,,,,,,,,,,,,,,,292d60ed-9ec3-4814-88d8-ee195c7da020,83,,"[71.2, 32.0]",3857271,1,,,,1.6329384,,Right Foot,,,,"[69.8, 54.5]",,Ground Pass,,22.543514,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,['40ddf86a-3cde-40b1-9b99-af333a5d3990'],23,,,,,,,,,,,,,,,,,,,England,768,00:01:23.454,Pass,
,,,,,,,,,,,,,,,,1.196447,,,,,,,,,,,,,,,,25d1ded6-f94b-44e5-a3a2-f0569c4ecaab,86,,"[70.1, 55.8]",3857271,1,,,,0.9671922,,Right Foot,,,,"[81.2, 71.9]",,Ground Pass,,19.555561,,,Kieran Trippier,3308.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,['c48146dc-5e6b-4610-8b0a-bc35e741947a'],26,,,,,,,,,,,,,,,,,,,England,768,00:01:26.177,Pass,
,,,,,,,,,,,,,,,,0.935317,,,,,,,,,,,,,,,,0c58f63d-83b8-4341-8394-c8e942329509,89,,"[81.2, 71.9]",3857271,1,,,,-0.81284225,,Right Foot,,,,"[93.6, 58.8]",,Ground Pass,,18.038015,,,Bukayo Saka,22084.0,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Back,3,England,768,['04765feb-3c58-43f7-badc-53e52e767287'],27,,,,,,,,,,,,,,,,,,,England,768,00:01:27.660,Pass,
,,,,,,,,,,,,,,,,1.216819,,,,,,,,,,,,,,,,d8a69e05-6ee0-4b6a-9b95-a38f33d3373e,93,,"[85.9, 58.8]",3857271,1,,,,-3.0746536,,Right Foot,,,,"[68.0, 57.6]",,Ground Pass,,17.940178,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,3,England,768,"['66c00827-c4a0-4c70-9254-f77805e8df20', 'c4582f16-cd97-4644-9b15-dd8d0db3f496']",30,,,,,,,,,,,,,,,,,,,England,768,00:01:30.034,Pass,True
,,,,,,,,,,,,,,,,1.179259,,,,,,,,,,,,,,,,af2ae50f-b239-4f00-a850-5a7dc0e64b51,95,,"[68.0, 57.6]",3857271,1,,,,1.0592402,,Right Foot,,,,"[74.4, 69.0]",,Ground Pass,,13.073638,,,Kieran Trippier,3308.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,['b40da082-5316-4bcf-96fa-23dbfb3b00b8'],31,,,,,,,,,,,,,,,,,,,England,768,00:01:31.251,Pass,
,,,,,,,,,,,,,,,,1.131367,,,,,,,,,,,,,,,,a44cb112-f153-4bf6-8cd3-a2713670ca4b,98,,"[74.4, 69.0]",3857271,1,,,,-2.4897234,,Right Foot,,,,"[63.0, 60.3]",,Ground Pass,,14.340502,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Back,3,England,768,['70b43068-4f75-40f3-8e9e-04d197f07d97'],33,,,,,,,,,,,,,,,,,,,England,768,00:01:33.436,Pass,
,,,,,,,,,,,,,,,,0.736175,,,,,,,,,,,,,,,,ca12742c-db8a-44ee-b28d-9877e50ff0cf,101,,"[63.0, 60.3]",3857271,1,,,,-0.3606919,,Right Foot,,,,"[74.4, 56.0]",,Ground Pass,,12.184006,,,Bukayo Saka,22084.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,['03cb0b43-d5ae-4254-bb11-1aa4ffca45b4'],35,,,,,,,,,,,,,,,,,,,England,768,00:01:35.148,Pass,
,,,,,,,,,,,,,,,,1.121804,,,,,,,,,,,,,,,,29ed5b7b-0e5d-4134-bad0-1cc7fc85868a,103,,"[74.6, 56.5]",3857271,1,,,,2.912906,,Left Foot,,,,"[63.0, 59.2]",,Ground Pass,,11.91008,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,3,England,768,['b5d34d4c-a6f3-425c-b7a8-4148812e966c'],35,,,,,,,,,,,,,,,,,,,England,768,00:01:35.885,Pass,
,,,,,,,,,,,,,,,,1.004638,,,,,,,,,,,,,,,,16d53219-5c92-4416-8e1e-a35cd04763bd,106,,"[63.0, 59.2]",3857271,1,,,,-2.020556,,Right Foot,,,,"[54.6, 41.8]",,Ground Pass,,19.321491,,,John Stones,3244.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,['069a69e5-b215-4ec1-a35f-83c47dc6998a'],37,,,,,,,,,,,,,,,,,,,England,768,00:01:37.016,Pass,
,,,,,,,,,,,,,,,,1.74587,,,,,,,,,,,,,,,,3d1a10d5-44ba-41c3-a6b0-9c248ce6d776,109,,"[54.6, 41.8]",3857271,1,,,,-1.4528627,,Left Foot,,,,"[57.1, 20.7]",,Ground Pass,,21.247587,,,Harry Maguire,3336.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['d156661b-fc93-4578-a61f-0ca4041222d2'],39,,,,,,,,,,,,,,,,,,,England,768,00:01:39.085,Pass,
