50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.530984,,,,,,,,,,,1102729e-0cac-421a-a3ae-3f5a3b1e5526,78,,"[23.3, 54.9]",3857275,2,,,,,-1.6340603,,Right Foot,,,,"[21.9, 32.8]",,Ground Pass,,22.144299,,,,Ibrahima Konaté,11135.0,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,7,France,771,['f73dddee-9088-4934-94e6-e622eff20aa1'],4,,,,,,,,,,,,,,,,,,France,771,00:02:04.118,Pass,
,,,,,,,,,,,,,,,,,1.346235,,,,,,,,,,,fd6e6343-5b78-4818-a19e-c8ee7a02ee0c,82,,"[23.5, 29.6]",3857275,2,,,,,-1.5139855,,Right Foot,,,,"[24.7, 8.5]",,Ground Pass,,21.134096,,,,Eduardo Camavinga,24778.0,,,,,,,1,Regular Play,Ibrahima Konaté,11135.0,Left Center Back,7,France,771,"['936dfd52-eac9-4972-b5d6-1dfcae22eb24', 'f8b65041-abfb-4f25-8be3-918817ee97e9']",6,,,,,,,,,,,,,,,,,,France,771,00:02:06.855,Pass,True
,,,,,,,,,,,,,,,,,1.908034,,,,,,,,,,,cd5d8151-a6ec-43a9-9596-6703dd7f7016,90,,"[21.5, 6.1]",3857275,2,,,,,2.142304,,Left Foot,,,,"[2.4, 35.8]",,Ground Pass,,35.31147,,,,Steve Mandanda,3543.0,,,,,,,1,Regular Play,Eduardo Camavinga,24778.0,Left Back,7,France,771,['d3a4dac0-0afd-479a-af8d-cd9a9f7691a3'],12,,,,,,,,,,,,,,,,,,France,771,00:02:12.672,Pass,
,,,,,,,,,,,,,,,,,4.574271,,,,,,,,,,,e6dd0292-54f0-45c9-954f-df3c2983a692,93,,"[2.4, 35.8]",3857275,2,,True,,,-0.50486135,,Right Foot,,,,"[10.0, 31.6]",,Ground Pass,,8.683317,,Unknown,,,,,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,7,France,771,,22,,,,,,,,,,,,,,,,,,France,771,00:02:22.876,Pass,
,,,,,,,,,,,,,,,,,3.080099,,,,,,,,,,,6c74801e-a9e4-4574-88b6-f9924b40ac9d,96,,"[29.7, 53.9]",3857275,3,,,,,0.10906627,,Right Foot,,,,"[91.8, 60.7]",,High Pass,,62.471195,,Incomplete,,,,,,,,,,1,Other,Steve Mandanda,3543.0,Goalkeeper,8,France,771,['292209c6-135a-475d-ad3f-5b4cb1ffb9d6'],7,,,,,,,,,,,,,,,,,,France,771,00:03:07.360,Pass,
,,,,,,,,,,,,,,,,,1.063633,,,,,,,,,,,d3197808-eb3d-426b-805d-2dae272d4840,102,,"[27.5, 3.9]",3857275,3,,,,,-3.0971775,,Right Foot,,,,"[14.0, 3.3]",,Ground Pass,,13.513327,,,,Ali Maâloul,5647.0,,,,,,,1,Regular Play,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,9,Tunisia,777,"['62bfdbdf-ba22-41ff-92ce-8a3858aa0513', '6b29ab3b-0645-4d33-b15b-c9440dfe04e4']",15,,,,,,,,,,,,,,,,,,Tunisia,777,00:03:15.201,Pass,True
,,,,,,,,,,,,,,,,,0.258761,,,,,,,,,,,1e3d2429-767b-4931-8fb4-c597712d692e,105,,"[10.8, 5.1]",3857275,3,,,,,0.21866895,,Left Foot,,,,"[14.4, 5.9]",,Ground Pass,,3.6878178,,Incomplete,,,,,,,,,,1,Regular Play,Ali Maâloul,5647.0,Left Wing Back,9,Tunisia,777,['38375506-45bb-4ada-bd1d-731439b634a9'],16,,,,,,,,,,,,,,,,,,Tunisia,777,00:03:16.850,Pass,
,,,,,,,,,,,,,,,,,1.688741,,,,,,,,,,,82afae55-71f7-4aac-9b18-766c65d8f25e,107,,"[15.2, 0.1]",3857275,3,,,,,0.39479113,,,,,,"[42.8, 11.6]",,High Pass,,29.9,,,,Aïssa Bilal Laïdouni,44955.0,,,,,,Throw-in,1,From Throw In,Ali Maâloul,5647.0,Left Wing Back,10,Tunisia,777,['8c14921d-7939-4657-9c1b-b04d59213c17'],32,,,,,,,,,,,,,,,,,,Tunisia,777,00:03:32.287,Pass,
,,,,,,,,,,,,,,,,,0.321497,,,,,,,,,,,7674fb0b-00a7-4466-b23b-862375efa6b1,112,,"[63.1, 75.8]",3857275,3,,,,,-0.09966865,,Left Foot,,,,"[67.1, 75.4]",,Ground Pass,,4.0199504,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,10,Tunisia,777,['6a7aab09-427b-4d2e-99ff-91fbd8816610'],36,,,,,,,,,,,,,,,,,,France,771,00:03:36.630,Pass,
,,,,,,,,,,,,,,,,,2.268843,,,,,,,,,,,1a3ef8b7-80a5-484f-b540-dde09ac8b398,116,,"[70.9, 3.5]",3857275,3,,,,,0.01826281,,Right Foot,,,,"[92.8, 3.9]",,Ground Pass,,21.903652,,,,Mohamed Ali Ben Romdhane,102816.0,,,,,,,1,From Throw In,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,10,Tunisia,777,['91f39516-46d9-4105-9817-f7ec6df0d669'],38,,,,,,,,,,,,,,,,,,Tunisia,777,00:03:38.942,Pass,
