ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.465925,,,,,,,,,,,,,3ac85301-1b3e-4f2a-85c8-698a41314dff,96,,"[55.9, 28.2]",3869152,4,,,,,3.086476,,Right Foot,,,"[41.4, 29.0]",,Ground Pass,,14.522052,,,,,Kamil Glik,3034.0,,,,,,1,Regular Play,Grzegorz Krychowiak,3637.0,Center Defensive Midfield,10,Poland,789,"['b935c6af-d390-4f59-b76e-30d0882114a0', 'c55b73c7-8695-4bdb-9829-c29e1ca6cb9a']",3,,,,,,,,,,,,,,,,Poland,789,00:04:03.049,Pass,True
,,,,,,,,,,,,,,1.62498,,,,,,,,,,,,,ccb5c77f-2db6-4fa6-ba0c-70a464c66e3a,99,,"[41.4, 30.0]",3869152,4,,,,,1.7979397,,Left Foot,,,"[36.5, 51.2]",,Ground Pass,,21.758905,,,,,Matty Cash,4734.0,,,,,,1,Regular Play,Kamil Glik,3034.0,Right Center Back,10,Poland,789,['ddc9b088-8fea-4505-a064-b8abd6644cf9'],5,,,,,,,,,,,,,,,,Poland,789,00:04:05.205,Pass,
,,,,,,,,,,,,,,1.028661,,,,,,,,,,,,,8e10a4a7-6ae3-4ad1-9e30-eeb1d91efd2f,101,,"[36.5, 51.7]",3869152,4,,,,,-1.8604879,,Right Foot,,,"[33.4, 41.3]",,Ground Pass,,10.852189,,,,,Kamil Glik,3034.0,,,,,,1,Regular Play,Matty Cash,4734.0,Right Back,10,Poland,789,['c0f56ad7-2b63-4678-a0b2-dc2a2ed7c759'],6,,,,,,,,,,,,,,,,Poland,789,00:04:06.830,Pass,
,,,,,,,,,,,,,,1.454936,,,,,,,,,,,,,47cfc0ef-d744-45c1-9663-2670fe49ed43,104,,"[33.4, 41.9]",3869152,4,,,,,-1.6278771,,Right Foot,,,"[32.2, 20.9]",,Ground Pass,,21.034258,,,,,Jakub Piotr Kiwior,44166.0,,,,,,1,Regular Play,Kamil Glik,3034.0,Right Center Back,10,Poland,789,['55113c39-016f-45d0-a9cd-a41b0c48d5c0'],8,,,,,,,,,,,,,,,,Poland,789,00:04:08.396,Pass,
,,,,,,,,,,,,,,4.301444,,,,,,,,,,,,,573abd0b-4edb-48a9-ba91-5b7e36d44aa3,107,,"[36.5, 16.8]",3869152,4,,,,,-0.12538911,,Left Foot,,,"[107.9, 7.8]",,High Pass,,71.96499,,,,,Przemysław Frankowski,7979.0,,,,,,1,Regular Play,Jakub Piotr Kiwior,44166.0,Left Center Back,10,Poland,789,['51d1e671-4fdb-4cb1-889d-9d9cf03bd280'],11,,,,,,,,,,,,,,,,Poland,789,00:04:11.091,Pass,
,,,,,,,,,,,,,,1.913743,,,,,,,,,,,,,117906e9-f0c1-4fe4-a667-f046403d54ad,111,,"[111.0, 5.3]",3869152,4,,,,,1.2090671,,Right Foot,,,"[113.8, 12.7]",,Low Pass,,7.9120164,,,Incomplete,,,,,,,,,1,Regular Play,Przemysław Frankowski,7979.0,Left Midfield,10,Poland,789,['a4e27241-32d6-4a3f-b5bf-2520d589246d'],15,,,,,,,,,,,,,,,,Poland,789,00:04:15.510,Pass,
,,,,,,,,,,,,,,1.104228,,,,,,,,,,,,,638b41e2-9f6d-45b5-a3f9-a94b7387c179,114,,"[6.3, 67.0]",3869152,4,,,,,-1.6998823,,Left Foot,,,"[3.6, 46.2]",,Ground Pass,,20.974508,,,,,Hugo Lloris,3099.0,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,11,France,771,['9df07afd-7109-4d04-bd5e-846dbbf90917'],18,,,,,,,,,,,,,,,,France,771,00:04:18.039,Pass,
,,,,,,,,,,,,,,1.301227,,,,,,,,,,,,,41088640-e8e5-42e9-8ceb-59f9c2240e2e,117,,"[3.6, 44.6]",3869152,4,,,,,-0.8365164,,Right Foot,,,"[13.8, 33.3]",,Ground Pass,,15.22268,,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,Regular Play,Hugo Lloris,3099.0,Goalkeeper,11,France,771,['3286bfa4-a3fa-4f44-b851-8ce39a31c344'],19,,,,,,,,,,,,,,,,France,771,00:04:19.469,Pass,
,,,,,,,,,,,,,,0.283644,,,,,,,,,,,,,863a5f55-2504-49ec-9165-8482faee0232,122,,"[7.3, 32.1]",3869152,4,,,,,-1.6433958,,Left Foot,,,"[6.9, 26.6]",,Low Pass,,5.5145264,,,Incomplete,,,,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,11,France,771,['20c143ba-25a1-4451-b11c-cd89eacd32c9'],21,,,,,,,,,,,,,,,,France,771,00:04:21.653,Pass,
,,,,,,,,,,,,,,1.684918,,,,,,,,,,,,,f2681ce7-fd89-4a29-8be1-7bf9fc59d8f9,128,,"[22.4, 12.9]",3869152,4,,,,,0.07897211,,Left Foot,,,"[36.3, 14.0]",,Ground Pass,,13.943458,,,,,Kylian Mbappé Lottin,3009.0,,,,,,1,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,11,France,771,"['80927225-d1d5-4456-83b2-95e646be5acf', 'bd220731-05fe-48e3-8078-e1e562e413aa']",25,,,,,,,,,,,,,,,,France,771,00:04:25.006,Pass,True
