50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.180344,,,,,,,,,,,,,76d2905e-4b19-4931-af90-87993b25cad6,921,,,"[56.7, 21.6]",3939977,18,,,,-0.36829227,,Right Foot,,,"[110.6, 0.8]",High Pass,,57.774128,,Out,,Víctor Alejandro Dávila Zavala,30944.0,,,,,,,1,From Throw In,Rodrigo Eduardo Echeverría Sáez,35738.0,Left Defensive Midfield,33,Argentina,779,['3a4d626e-69ab-47a9-892f-5c96862469fd'],46,,,,,,,,,,,,,,,,,,Chile,3562,00:18:46.520,Pass,
,,,,,,,,,,,,,,,,1.391963,,,,,,,,,,,,,ab39f98e-5a74-4831-b9b6-bee6e5a6fbc8,923,,,"[14.6, 80.0]",3939977,18,,,,-1.6902252,,,,,"[13.1, 67.5]",Low Pass,,12.589679,,,,Cristian Gabriel Romero,20572.0,,,,,,Throw-in,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,34,Argentina,779,['31322aac-ab2e-467b-848f-e610bd204f12'],57,,,,,,,,,,,,,,,,,,Argentina,779,00:18:57.216,Pass,
,,,,,,,,,,,,,,,,1.543605,,,,,,,,,,,,,26477c54-75af-40bf-9955-2f47b8a2e67d,926,,,"[15.5, 57.5]",3939977,19,,,,-2.1328454,,Right Foot,,,"[2.4, 36.7]",Ground Pass,,24.581497,,,,Damián Emiliano Martínez,6909.0,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,34,Argentina,779,['50252a65-042d-46ad-b009-5ca5c65a7ced'],3,,,,,,,,,,,,,,,,,,Argentina,779,00:19:03.333,Pass,
,,,,,,,,,,,,,,,,1.314064,,,,,,,,,,,,,f34e646c-3293-45f3-adf0-a3b7bc961ca7,930,,,"[2.4, 37.2]",3939977,19,,,,-1.0731062,,Right Foot,,,"[9.3, 24.5]",Ground Pass,,14.453373,,,,Lisandro Martínez,27768.0,,,,,,,1,From Throw In,Damián Emiliano Martínez,6909.0,Goalkeeper,34,Argentina,779,"['3581062e-7492-4f1e-9d31-b67eeb0bd9be', 'e7108bd4-33b8-4add-8b74-7c2cf6fc3acf']",5,,,,,,,,,,,,,,,,,,Argentina,779,00:19:05.275,Pass,True
,,,,,,,,,,,,,,,,1.233622,,,,,,,,,,,,,949466ca-c371-41b5-a643-45b34678b3ee,933,,,"[41.8, 10.8]",3939977,19,,,,1.6110971,,Left Foot,,,"[41.3, 23.2]",Ground Pass,,12.410076,,,,Alexis Mac Allister,27886.0,,,,,,,1,From Throw In,Lisandro Martínez,27768.0,Left Center Back,34,Argentina,779,['06be9861-d691-4772-ae53-576f5f26a2e7'],13,,,,,,,,,,,,,,,,,,Argentina,779,00:19:13.468,Pass,
,,,,,,,,,,,,,,,,1.902789,,,,,,,,,,,,,e05f68fc-11b2-4745-b4ff-a1a7bdd1f99d,936,,,"[44.8, 30.5]",3939977,19,,,,1.8079166,,Right Foot,,,"[39.0, 54.5]",Ground Pass,,24.69089,,,,Cristian Gabriel Romero,20572.0,,,,,,,1,From Throw In,Alexis Mac Allister,27886.0,Right Defensive Midfield,34,Argentina,779,['2f1a4a07-3fea-4ea0-8bc6-ae7b90743c71'],16,,,,,,,,,,,,,,,,,,Argentina,779,00:19:16.816,Pass,
,,,,,,,,,,,,,,,,0.871726,,,,,,,,,,,,,d2e3f738-2971-45ed-8c47-cd2ff973d684,939,,,"[49.7, 54.1]",3939977,19,,,,-0.079618566,,Right Foot,,,"[68.5, 52.6]",Ground Pass,,18.859745,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,34,Argentina,779,['ba5c1b58-be25-4aa5-a8dd-779b9adfc9f9'],24,,,,,,,,,,,,,,,,,,Argentina,779,00:19:24.895,Pass,
,,,,,,,,,,,,,,,,2.082441,,,,,,,,,,,,,e2b7759e-6541-4d83-9d3b-64eadaa2597c,941,,,"[66.8, 54.1]",3939977,19,,,,2.1057515,,Right Foot,,,"[57.2, 70.3]",Ground Pass,,18.830826,,,,Nahuel Molina Lucero,29201.0,,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Midfield,34,Argentina,779,['64a24266-1673-443e-8833-699cc83f3c5a'],25,,,,,,,,,,,,,,,,,,Argentina,779,00:19:25.767,Pass,
,,,,,,,,,,,,,,,,1.019541,,,,,,,,,,,,,8e550562-5fa5-48f8-98b1-97866c996eca,943,,,"[56.7, 74.4]",3939977,19,,,,-0.50416595,,Right Foot,,,"[62.5, 71.2]",Ground Pass,,6.624198,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,34,Argentina,779,['16572d86-0714-47a2-bab4-9feeaad76f52'],27,,,,,,,,,,,,,,,,,,Argentina,779,00:19:27.849,Pass,
,,,,,,,,,,,,,,,,0.334314,,,,,,,,,,,,,00a7eafc-eaaa-4ed3-a87c-ddea801be472,950,,,"[47.1, 12.4]",3939977,19,,,,0.87090343,,Right Foot,,,"[50.3, 16.2]",Low Pass,,4.967897,,Incomplete,,Víctor Alejandro Dávila Zavala,30944.0,,,,,,,1,From Throw In,Erick Antonio Pulgar Farfán,7175.0,Right Defensive Midfield,34,Argentina,779,"['40213509-44fb-41d0-9fc6-953d6df47770', 'ecac90c0-c987-4165-b763-b9a577b69cd3']",36,,,,,,,,,,,,,,,,,,Chile,3562,00:19:36.692,Pass,
