50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,5.651073,,,,,,,,,,,,,9f76d665-e38b-4211-adf1-797fc8b14676,1014,,"[14.5, 36.3]",3939970,30,,,,-0.38154614,,Left Foot,,"[80.8, 9.7]",High Pass,,71.437035,,Pass Offside,,Piero Aldair Quispe Córdova,101509.0,,,,,,1,Regular Play,Pedro David Gallese Quiróz,5528.0,Goalkeeper,64,Peru,784,['c8028559-0280-473f-8ba0-a04b731cdb12'],39,,,,,,,,,,,,,,,,,Peru,784,00:30:39.758,Pass,
,,,,,,,,,,,,,,,,,1.268022,,,,,,,,,,,,,d3b72c82-c2ea-4c60-8099-660144918b21,1016,,"[26.1, 66.1]",3939970,31,True,,,-1.6756732,,Right Foot,,"[23.3, 39.5]",Ground Pass,,26.746962,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,Free Kick,1,From Free Kick,Igor Lichnovsky Osorio,26256.0,Right Center Back,65,Chile,3562,['cfbe94a7-89cb-48f4-b005-f730d0c36f4a'],9,,,,,,,,,,,,,,,,,Chile,3562,00:31:09.656,Pass,
,,,,,,,,,,,,,,,,,1.073525,,,,,,,,,,,,,01235ce0-9fa0-461a-a20e-77e0f7f619b9,1018,,"[26.7, 47.0]",3939970,31,,,,1.2380916,,Right Foot,,"[33.3, 66.1]",Ground Pass,,20.208166,,,,Igor Lichnovsky Osorio,26256.0,,,,,,1,From Free Kick,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,65,Chile,3562,['bfabc25b-0ed3-4319-8379-49653562302f'],17,,,,,,,,,,,,,,,,,Chile,3562,00:31:17.777,Pass,
,,,,,,,,,,,,,,,,,1.558222,,,,,,,,,,,,,2d3335fb-aa13-489c-b061-6741af0e6908,1021,,"[43.9, 66.7]",3939970,31,,,,-0.69902617,,Right Foot,,"[75.9, 39.8]",High Pass,,41.804424,,,,Diego Alfonso Valdés Contreras,26369.0,,,,,,1,From Free Kick,Igor Lichnovsky Osorio,26256.0,Right Center Back,65,Chile,3562,['ae26809c-ef90-4561-9bc4-d982f4b8ef77'],21,,,,,,,,,,,,,,,,,Chile,3562,00:31:21.039,Pass,
,,,,,,,,,,,,,,,,,1.990976,,,,,,,,,,,,,50718582-50b2-485e-ba82-9875b070f2c5,1025,,"[76.2, 39.5]",3939970,31,,,,0.11323897,,Right Foot,,"[101.7, 42.4]",High Pass,,25.664371,,Incomplete,,Eduardo Jesús Vargas Rojas,27317.0,,,,,,1,From Free Kick,Diego Alfonso Valdés Contreras,26369.0,Left Wing,65,Chile,3562,"['0983c57c-ed02-4692-9685-f46eda7e9970', '1960c436-7845-4831-bb60-12659fc33916', '7603ee6f-71e0-4e92-9c37-f50f3859ea33']",23,,,,,,,,,,,,,,,,,Chile,3562,00:31:23.829,Pass,True
,,,,,,,,,,,,True,,,,,0.565559,,,,,,,,,,,,,7603ee6f-71e0-4e92-9c37-f50f3859ea33,1028,,"[18.4, 37.7]",3939970,31,,,True,2.976444,,,,"[8.2, 39.4]",Low Pass,,10.340696,,,,Pedro David Gallese Quiróz,5528.0,,,,,Interception,1,Regular Play,Miguel Gianpierre Araujo Blanco,33176.0,Right Center Back,66,Peru,784,"['45202742-bd53-4dab-803f-2ac6db3a25b2', '50718582-50b2-485e-ba82-9875b070f2c5', '92ab2b89-8cde-46df-9e4d-3f5969d0b59c']",25,,,,,,,,,,,,,,,,,Peru,784,00:31:25.820,Pass,True
,,,,,,,,,,,,,,,,,3.776549,,,,,,,,,,,,,89b72c16-a296-4f6a-bc6f-d255b5f3687d,1030,,"[8.2, 39.4]",3939970,31,True,,,0.31302318,,Drop Kick,,"[73.7, 60.6]",High Pass,,68.845406,,,,Édison Michael Flores Peralta,5525.0,,,,,,1,Regular Play,Pedro David Gallese Quiróz,5528.0,Goalkeeper,66,Peru,784,['cfde1c3f-fb40-482e-97c0-6f473401442b'],34,,,,,,,,,,,,,,,,,Peru,784,00:31:34.600,Pass,
,,,,,,,,,,,,,,,,,1.84452,,,,,,,,,,,,,a96ddea5-5b92-43df-8d71-ce0ca714a4df,1033,,"[73.7, 60.6]",3939970,31,,,True,0.86630225,,,,"[80.5, 68.6]",Low Pass,,10.499524,,Incomplete,,Gianluca Lapadula Vargas,7143.0,,,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Center Forward,66,Peru,784,"['3e7cf8d4-b6e6-496e-9b78-56ad1c1bdda5', 'cae7a1a9-733d-4bc8-aaf0-2d4d8243d613', 'cf87983d-2b49-481f-b7bc-6eb46ce6ae66']",38,,,,,,,,,,,,,,,,,Peru,784,00:31:38.400,Pass,True
,,,,,,,,,,,,,,,,,1.696836,,,,,,,,,,,,,3a40415f-0563-4bd7-9eec-1b0bf9cd65af,1041,,"[39.9, 13.5]",3939970,31,,,,1.201112,,Right Foot,,"[46.1, 29.5]",Ground Pass,,17.159254,,,,Marcelino Ignacio Nuñez Espinoza,36532.0,,,,,,1,Regular Play,Paulo César Díaz Huincales,31012.0,Left Center Back,67,Chile,3562,['cc51e894-244b-4fe0-a4f0-9d97ef22a76f'],41,,,,,,,,,,,,,,,,,Chile,3562,00:31:41.450,Pass,
,,,,,,,,,,,,,,,,,1.913632,,,,,,,,,,,,,a0567920-2892-49f3-a92e-6a32f87bd175,1045,,"[51.6, 36.9]",3939970,31,,,,1.3872787,,Right Foot,,"[56.5, 63.3]",Ground Pass,,26.850885,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,,1,Regular Play,Marcelino Ignacio Nuñez Espinoza,36532.0,Right Defensive Midfield,67,Chile,3562,"['010c3d50-3720-4cdb-8f55-2a83f23a7868', 'fc20ea18-51c3-496c-af2d-1e632539b49f']",45,,,,,,,,,,,,,,,,,Chile,3562,00:31:45.000,Pass,True
